location_tag,label,expected_lon,expected_lat,confidence,source_note
paris,Paris,2.3522,48.8566,high,modern city centroid used as stable map control point
london,London,-0.1276,51.5072,high,modern city centroid used as stable map control point
york,York,-1.0803,53.9583,high,modern city centroid used as stable map control point
edinburgh,Edinburgh,-3.1883,55.9533,high,modern city centroid used as stable map control point
dublin,Dublin,-6.2603,53.3498,high,modern city centroid used as stable map control point
bergen,Bergen,5.3221,60.3929,high,modern city centroid used as stable map control point
stockholm,Stockholm,18.0686,59.3293,high,modern city centroid used as stable map control point
hamburg,Hamburg,9.9937,53.5511,high,modern city centroid used as stable map control point
amsterdam,Amsterdam,4.9041,52.3676,high,modern city centroid used as stable map control point
brussels,Brussels,4.3517,50.8503,high,modern city centroid used as stable map control point
venice,Venice,12.3155,45.4408,high,modern city centroid used as stable map control point
milano,Milan,9.1900,45.4642,high,modern city centroid used as stable map control point
florence,Florence,11.2558,43.7696,high,modern city centroid used as stable map control point
rome,Rome,12.4964,41.9028,high,modern city centroid used as stable map control point
naples,Naples,14.2681,40.8518,high,modern city centroid used as stable map control point
palermo,Palermo,13.3615,38.1157,high,modern city centroid used as stable map control point
vienna,Vienna,16.3738,48.2082,high,modern city centroid used as stable map control point
prague,Prague,14.4378,50.0755,high,modern city centroid used as stable map control point
krakow,Krakow,19.9450,50.0647,high,modern city centroid used as stable map control point
warsaw,Warsaw,21.0122,52.2297,high,modern city centroid used as stable map control point
kyiv,Kyiv,30.5234,50.4501,high,modern city centroid used as stable map control point
novgorod,Novgorod,31.2755,58.5228,high,modern city centroid used as stable map control point
moscow,Moscow,37.6173,55.7558,high,modern city centroid used as stable map control point
constantinople,Constantinople,28.9784,41.0082,high,modern city centroid used as stable map control point
athens,Athens,23.7275,37.9838,high,modern city centroid used as stable map control point
smyrna,Smyrna,27.1428,38.4237,high,modern city centroid used as stable map control point
jerusalem,Jerusalem,35.2137,31.7683,high,modern city centroid used as stable map control point
cairo,Cairo,31.2357,30.0444,high,modern city centroid used as stable map control point
alexandria,Alexandria,29.9187,31.2001,high,modern city centroid used as stable map control point
tunis,Tunis,10.1815,36.8065,high,modern city centroid used as stable map control point
fez,Fez,-5.0078,34.0331,high,modern city centroid used as stable map control point
marrakesh,Marrakesh,-7.9811,31.6295,high,modern city centroid used as stable map control point
timbuktu,Timbuktu,-3.0026,16.7666,high,modern city centroid used as stable map control point
kano,Kano,8.5167,12.0000,high,modern city centroid used as stable map control point
benin,Benin City,5.6145,6.3350,high,modern city centroid used as stable map control point
ife,Ife,4.5590,7.4820,high,modern city centroid used as stable map control point
mogadishu,Mogadishu,45.3182,2.0469,high,modern city centroid used as stable map control point
zanzibar,Zanzibar,39.2083,-6.1659,high,modern city centroid used as stable map control point
kilwa_kisiwani,Kilwa Kisiwani,39.5070,-8.9570,high,modern city centroid used as stable map control point
sofala,Sofala,34.7430,-20.1660,medium,historical settlement approximate centroid
mombasa,Mombasa,39.6682,-4.0435,high,modern city centroid used as stable map control point
mecca,Mecca,39.8262,21.4225,high,modern city centroid used as stable map control point
medina,Medina,39.5692,24.5247,high,modern city centroid used as stable map control point
jeddah,Jeddah,39.1925,21.4858,high,modern city centroid used as stable map control point
baghdad,Baghdad,44.3661,33.3152,high,modern city centroid used as stable map control point
basra,Basra,47.7835,30.5085,high,modern city centroid used as stable map control point
hormuz,Hormuz,56.4600,27.0950,medium,historical island/port approximate centroid
isfahan,Isfahan,51.6675,32.6539,high,modern city centroid used as stable map control point
tabriz,Tabriz,46.2919,38.0962,high,modern city centroid used as stable map control point
herat,Herat,62.2040,34.3529,high,modern city centroid used as stable map control point
samarkand,Samarkand,66.9749,39.6542,high,modern city centroid used as stable map control point
bukhara,Bukhara,64.4286,39.7747,high,modern city centroid used as stable map control point
kabul,Kabul,69.2075,34.5553,high,modern city centroid used as stable map control point
delhi,Delhi,77.2090,28.6139,high,modern city centroid used as stable map control point
lahore,Lahore,74.3587,31.5204,high,modern city centroid used as stable map control point
multan,Multan,71.5249,30.1575,high,modern city centroid used as stable map control point
agra,Agra,78.0081,27.1767,high,modern city centroid used as stable map control point
varanasi,Varanasi,82.9739,25.3176,high,modern city centroid used as stable map control point
patna,Patna,85.1376,25.5941,high,modern city centroid used as stable map control point
gaur,Gaur,88.1300,24.8700,medium,historical settlement approximate centroid
sonargaon,Sonargaon,90.6000,23.6500,medium,historical settlement approximate centroid
goa,Goa,74.1240,15.2993,high,modern regional centroid used as stable map control point
madurai,Madurai,78.1198,9.9252,high,modern city centroid used as stable map control point
kandy,Kandy,80.6350,7.2906,high,modern city centroid used as stable map control point
pagan,Pagan,94.8620,21.1710,medium,historical settlement approximate centroid
malacca,Malacca,102.2501,2.1896,high,modern city centroid used as stable map control point
palembang,Palembang,104.7754,-2.9761,high,modern city centroid used as stable map control point
banten,Banten,106.1500,-6.0300,high,modern city centroid used as stable map control point
trowulan,Trowulan,112.3800,-7.5500,medium,historical settlement approximate centroid
daha,Kediri-Daha,111.9900,-7.8200,medium,historical settlement approximate centroid
hangzhou,Hangzhou,120.1551,30.2741,high,modern city centroid used as stable map control point
guangzhou,Guangzhou,113.2644,23.1291,high,modern city centroid used as stable map control point
kaifeng,Kaifeng,114.3076,34.7973,high,modern city centroid used as stable map control point
hanyang,Hanyang-Wuhan,114.3000,30.5500,high,modern city centroid used as stable map control point
chengdu,Chengdu,104.0665,30.5728,high,modern city centroid used as stable map control point
kyoto,Kyoto,135.7681,35.0116,high,modern city centroid used as stable map control point
osaka,Osaka,135.5023,34.6937,high,modern city centroid used as stable map control point
kamakura,Kamakura,139.5500,35.3200,high,modern city centroid used as stable map control point
satsuma,Satsuma-Kagoshima,130.5571,31.5966,medium,historical province represented by Kagoshima centroid
tenochtitlan,Tenochtitlan,-99.1332,19.4326,high,modern Mexico City centroid for historic location
quito,Quito,-78.4678,-0.1807,high,modern city centroid used as stable map control point
panama,Panama,-79.5199,8.9824,high,modern city centroid used as stable map control point
